StateFIPS,CongressionalDistrict,StateUpper,StateLower,StateAbbreviation,Population2016,CDInSLD,SLDInCD
1,2,30,42,AL,16182.76,0.024,0.349
1,2,30,69,AL,7431.315,0.011,0.026
1,2,30,75,AL,15172.986,0.022,1
1,2,30,88,AL,46920.306,0.069,0.12
1,2,31,89,AL,42718.591,0.063,0.334
1,2,31,90,AL,2571.146,0.004,0.014
1,2,31,91,AL,46223.189,0.068,0.226
1,2,31,92,AL,39889.666,0.058,0.256
1,2,31,93,AL,7519.428,0.011,0.063
1,3,10,30,AL,5740.667,0.008,0.026
1,3,10,39,AL,18679.306,0.027,0.345
1,3,11,30,AL,5140.487,0.007,0.077
1,3,11,32,AL,5641.893,0.008,0.072
1,3,11,33,AL,25862.568,0.037,0.232
1,3,11,35,AL,8180.55,0.012,0.094
1,3,11,36,AL,20669.234,0.03,0.973
1,3,11,50,AL,48394.498,0.069,0.995
1,3,12,29,AL,5182.878,0.007,0.031
1,3,12,32,AL,23504.061,0.034,0.151
1,3,12,33,AL,2085.004,0.003,0.01
1,3,12,35,AL,24773.35,0.035,0.192
1,3,12,36,AL,24525.393,0.035,0.1
1,3,12,39,AL,6358.256,0.009,0.321
1,3,12,40,AL,44397.602,0.063,0.512
1,3,13,35,AL,8294.5,0.012,0.067
1,3,13,37,AL,45501.599,0.065,0.264
1,3,13,38,AL,42062.341,0.06,0.415
1,3,13,39,AL,14071.47,0.02,0.08
1,3,13,79,AL,2316.047,0.003,0.092
1,3,13,80,AL,26613.565,0.038,0.896
1,3,13,82,AL,9.069,0,0
1,3,13,83,AL,4941.58,0.007,0.216
1,3,15,32,AL,13059.288,0.019,0.36
1,3,15,33,AL,9626.066,0.014,0.963
1,3,15,35,AL,554.845,0.001,0.011
1,3,17,30,AL,8590.995,0.012,0.032
1,3,17,32,AL,1930.275,0.003,0.149
1,3,17,33,AL,2569.806,0.004,0.011
1,3,17,35,AL,253.087,0,0.001
1,3,17,36,AL,889.698,0.001,0.008
1,3,25,74,AL,4040.202,0.006,0.035
1,3,25,75,AL,21783.931,0.031,0.154
1,3,26,78,AL,5611.282,0.008,0.052
1,3,27,38,AL,7545.574,0.011,0.013
1,3,27,79,AL,49794.439,0.071,0.26
1,3,27,80,AL,19663.14,0.028,0.168
1,3,27,81,AL,28044.83,0.04,0.322
1,3,27,82,AL,19855.515,0.028,0.325
1,3,27,83,AL,25415.657,0.036,1
1,3,28,79,AL,5.668,0,0
1,3,28,80,AL,5044.056,0.007,0.029
1,3,28,82,AL,25934.947,0.037,0.236
1,3,28,83,AL,20960.686,0.03,0.085
1,3,28,84,AL,8347.798,0.012,0.029
1,3,30,81,AL,7433.734,0.011,0.176
1,4,4,7,AL,34059.328,0.05,0.053
1,4,4,9,AL,11920.478,0.017,0.064
1,4,4,11,AL,24323.027,0.036,0.065
1,4,4,12,AL,46227.495,0.068,0.128
1,4,4,14,AL,4495.765,0.007,0.052
1,4,4,17,AL,14638.6,0.021,1
1,4,5,13,AL,38727.4,0.057,0.05
1,4,5,14,AL,34057.603,0.05,0.123
1,4,5,16,AL,22068.707,0.032,0.145
1,4,5,17,AL,3859.902,0.006,0.054
1,4,5,61,AL,10070.258,0.015,0.161
1,4,5,62,AL,286.935,0,1
1,4,5,63,AL,5840.347,0.009,1
1,4,6,3,AL,44035.619,0.065,0.964
1,4,6,7,AL,6687.929,0.01,0.016
1,4,6,17,AL,17966.049,0.026,0.068
1,4,6,18,AL,39329.803,0.058,0.141
1,4,8,23,AL,1648.626,0.002,0.002
1,4,8,24,AL,44776.009,0.066,0.249
1,4,8,29,AL,490.554,0.001,0.004
1,4,8,39,AL,4551.583,0.007,0.197
1,4,9,9,AL,1305.328,0.002,0.002
1,4,9,11,AL,4552.343,0.007,0.348
1,4,9,23,AL,124.633,0,0.001
1,4,9,24,AL,1051.899,0.002,0.012
1,4,9,26,AL,45045.906,0.066,0.299
1,4,9,27,AL,45895.894,0.067,0.218
1,4,9,29,AL,3022.091,0.004,0.014
1,4,9,34,AL,11936.619,0.018,0.877
1,4,10,24,AL,8.974,0,0
1,4,10,26,AL,1551.427,0.002,0.031
1,4,10,28,AL,45067.071,0.066,0.172
1,4,10,29,AL,36441.128,0.053,0.26
1,4,10,30,AL,26245.502,0.038,0.118
1,4,10,39,AL,1781.903,0.003,0.033
1,4,21,16,AL,6602.545,0.01,0.312
1,4,21,17,AL,7315.455,0.011,0.068
1,4,21,61,AL,16864.585,0.025,0.167
1,4,21,62,AL,2513.594,0.004,0.025
1,4,21,63,AL,14414.519,0.021,0.102
1,5,1,1,AL,23433.75,0.033,0.011
1,5,1,2,AL,46107.736,0.065,0.056
1,5,1,4,AL,4727.174,0.007,0.03
1,5,1,5,AL,38992.742,0.055,0.076
1,5,1,6,AL,16609.48,0.023,0.022
1,5,1,18,AL,3105.846,0.004,1
1,5,1,19,AL,7272.377,0.01,0.991
1,5,1,21,AL,2728.341,0.004,1
1,5,1,53,AL,743.124,0.001,1
1,5,2,5,AL,7796.083,0.011,0.02
1,5,2,6,AL,32922.034,0.046,0.096
1,5,2,10,AL,24411.135,0.034,0.051
1,5,2,19,AL,15877.473,0.022,0.449
1,5,2,25,AL,49143.927,0.069,0.564
1,5,2,53,AL,18209.197,0.026,1
1,5,3,4,AL,41457.425,0.058,0.07
1,5,3,5,AL,4082.916,0.006,0.01
